titleComplete,genres
Fault Lines: A Memoir (The Cross-Cultural Memoir Series),nonfiction
Fault Lines: A Memoir (The Cross-Cultural Memoir Series),memoir
CETTE IMPITOYABLE SECHERESSE (French Edition),
Matigari.,
Moving The Centre,
"UT, Nr.99, Der Fluß dazwischen",
Writers in Politics,politics
Writers in Politics,nonfiction
A Meeting in the Dark,
Wedding at the Cross,
In the Name of the Mother: Reflections on Writers and Empire,nonfiction
The East Was Read: Socialist Culture in the Third World,politics
The East Was Read: Socialist Culture in the Third World,race
The East Was Read: Socialist Culture in the Third World,history
The Steve Biko Memorial Lectures 2000-2008,
Se Afrika,nonfiction
Njamba Nene and the Flying Bus,
"Homecoming: Essays on African and Caribbean Literature, Culture and Politics",politics
"Homecoming: Essays on African and Caribbean Literature, Culture and Politics",essays
"Penpoints, Gunpoints, and Dreams: Towards a Critical Theory of the Arts and the State in Africa",nonfiction
Oguns skugga: Dikter,
Barrel of a Pen: Resistance to Repression in Neo-Colonial Kenya,nonfiction
De Afrikaanse Keuken,
African Cooking,
Bitter Bananas,picture books
Bikes For Rent,bicycles
Bikes For Rent,childrens
Bikes For Rent,picture books
The Distant Talking Drum,poetry
Global War On Terror: The Nigerian Dimension,history
Nigerian Political Culture and Security Challenges,
The Return,
In the Rainfield: Who Is The Greatest?,childrens
In the Rainfield: Who Is The Greatest?,picture books
Lake Of the Big Snake,
"The Interesting Narrative Of The Life Of Olaudah Equiano Or Gustavus Vassa, The African, Written By Himself Vol. I",
The Interesting Narrative of the Life of Olaudah Equiano: Or Gustavus Vassathe African. Written by Himself: Volume 2,
Kidnapped,
If A Book Is Locked There’s Probably A Good Reason For That Don’t You Think,short stories
The Murder Of Nigeria; An Indictment,
Sold as a Slave,autobiography
Sold as a Slave,biography
Sold as a Slave,nonfiction
Sold as a Slave,classics
Sold as a Slave,historical
Sold as a Slave,travel
Sold as a Slave,memoir
Sold as a Slave,history
The Interesting Narrative and other writings,politics
The Interesting Narrative and other writings,biography
The Interesting Narrative and other writings,college
The Interesting Narrative and other writings,classics
The Interesting Narrative and other writings,nonfiction
The Interesting Narrative and other writings,memoir
The Interesting Narrative and other writings,history
O Menino de Burma,
The ABC of Black Power Thought,
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",nonfiction
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",spirituality
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",anthropology
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",anthologies
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",the world
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",poetry
"Technicians of the Sacred: A Range of Poetries from Africa, America, Asia & Oceania",history
The Anthill,
Lagos_2060,science fiction
Lagos_2060,short stories
Ali Banana e la guerra,
Nudo al mercato,
Once Upon a Time,
Little Snake and Little Frog,
Poems,
AfroFictional In[ter]ventions,
The Handbook of Civil Society in Africa,
Pentecostal Republic: Religion and the Struggle for State Power in Nigeria,
"Nigerian History, Politics, And Affairs: The Collected Essays Of Adiele Afigbo",
Gingerbread,magical realism
Gingerbread,retellings
Gingerbread,audiobook
Gingerbread,adult
Gingerbread,fantasy
Gingerbread,fiction
Gingerbread,fairy tales
Gingerbread,contemporary
Gingerbread,novels
Gingerbread,literary fiction
"The Abolition Of The Slave Trade In Southeastern Nigeria, 1885 1950 (Rochester Studies In African History And The Diaspora)",
Nigeria And The Open University,
"Humor, Silence, and Civil Society in Nigeria",
Encountering the Nigerian State,
The Making of Modern Africa: Twentieth Century,
The Making of a Nation: Biafra,
MAKING GOOD THINGS HAPPEN: THE ATIKU ABUBAKAR POLICY DOCUMENT,
Politics as Dashed Hopes in Nigeria,
African Dictators. the Logic of Tyrany and Lesson from History,
Weaving Tradition in Igbo Land: History and Mechanism of Igbo Textile Industry,
My Life,
African Possibility in Global Power Stru,
Peaces: A Novel,magical realism
Peaces: A Novel,adult fiction
Peaces: A Novel,adult
Peaces: A Novel,fantasy
Peaces: A Novel,fiction
Peaces: A Novel,contemporary
Peaces: A Novel,queer
Peaces: A Novel,romance
Peaces: A Novel,literary fiction
Peaces: A Novel,lgbt
Nigeria against the I.M.F: The home market strategy,
Nigeria Since Independence (V. 1),
The Transformation of Katsina (1400-1883): The Emergence of the Sarauta System and the Establishment of the Emirate,
